biz_no,open_id,session_id,app_page,action_type,time_spent,device_type,location,action_time,ip_city,page_value,grass_date
240,op999957,op999957_20251128_1,search_page,swipe,21052,tablet,上海,2025-11-28 13:38:14,广州,数码,2025-11-28
241,op999957,op999957_20251128_1,home_page,input,1593,tablet,西安,2025-11-28 13:43:49,广州,,2025-11-28
242,op999957,op999957_20251128_2,home_page,click,13468,desktop,武汉,2025-11-28 03:40:06,成都,,2025-11-28
243,op999957,op999957_20251128_2,search_page,tap,2822,desktop,广州,2025-11-28 03:41:50,杭州,食品,2025-11-28
244,op1000739,op1000739_20251128_1,home_page,swipe,19721,tablet,杭州,2025-11-28 14:24:37,成都,,2025-11-28
245,op1000739,op1000739_20251128_1,home_page,scroll,25928,desktop,杭州,2025-11-28 14:27:20,南京,,2025-11-28
246,op1000739,op1000739_20251128_1,cart_page,scroll,21087,desktop,南京,2025-11-28 14:32:59,广州,,2025-11-28
247,op1000739,op1000739_20251128_1,profile_page,click,8204,desktop,重庆,2025-11-28 14:36:28,上海,,2025-11-28
248,op1000739,op1000739_20251128_1,home_page,click,14842,desktop,杭州,2025-11-28 14:39:32,北京,,2025-11-28
249,op1000739,op1000739_20251128_2,home_page,scroll,8247,desktop,武汉,2025-11-28 23:23:35,成都,,2025-11-28
250,op1000739,op1000739_20251128_2,home_page,scroll,18604,mobile,杭州,2025-11-28 23:28:00,上海,,2025-11-28
251,op1000739,op1000739_20251128_2,search_page,click,19802,tablet,北京,2025-11-28 23:32:09,天津,服装,2025-11-28
252,op1000099,op1000099_20251128_1,home_page,scroll,15489,tablet,北京,2025-11-28 18:52:39,上海,,2025-11-28
253,op1000099,op1000099_20251128_1,cart_page,tap,29064,tablet,成都,2025-11-28 18:55:24,武汉,,2025-11-28
254,op1000099,op1000099_20251128_1,product_page,swipe,27277,mobile,上海,2025-11-28 18:59:49,武汉,90162,2025-11-28
255,op1000099,op1000099_20251128_1,search_page,tap,22217,mobile,广州,2025-11-28 19:05:20,成都,服装,2025-11-28
256,op1001893,op1001893_20251128_1,home_page,input,13271,desktop,上海,2025-11-28 10:48:04,苏州,,2025-11-28
257,op1001893,op1001893_20251128_1,product_page,click,24528,tablet,西安,2025-11-28 10:50:40,杭州,90026,2025-11-28
258,op1001893,op1001893_20251128_1,profile_page,click,10118,desktop,南京,2025-11-28 10:54:49,天津,,2025-11-28
259,op1001893,op1001893_20251128_1,search_page,scroll,15612,desktop,重庆,2025-11-28 10:56:47,天津,服装,2025-11-28
260,op1001893,op1001893_20251128_1,profile_page,scroll,15810,desktop,重庆,2025-11-28 11:02:36,上海,,2025-11-28
261,op1002406,op1002406_20251128_1,home_page,tap,18617,desktop,北京,2025-11-28 14:11:37,武汉,,2025-11-28
262,op1002406,op1002406_20251128_1,cart_page,swipe,1088,desktop,武汉,2025-11-28 14:15:39,深圳,,2025-11-28
263,op1002406,op1002406_20251128_1,search_page,scroll,25386,tablet,北京,2025-11-28 14:18:57,成都,服装,2025-11-28
264,op1002406,op1002406_20251128_1,home_page,scroll,21336,desktop,成都,2025-11-28 14:21:03,上海,,2025-11-28
265,op1000871,op1000871_20251128_1,home_page,click,2164,desktop,北京,2025-11-28 15:45:46,杭州,,2025-11-28
266,op1000871,op1000871_20251128_1,product_page,swipe,1784,desktop,西安,2025-11-28 15:47:52,苏州,90130,2025-11-28
267,op1000871,op1000871_20251128_1,cart_page,click,8771,tablet,成都,2025-11-28 15:49:50,武汉,,2025-11-28
268,op1000871,op1000871_20251128_1,home_page,input,27966,desktop,西安,2025-11-28 15:52:46,上海,,2025-11-28
269,op1000871,op1000871_20251128_1,search_page,input,12313,mobile,西安,2025-11-28 15:55:45,武汉,食品,2025-11-28
270,op1000360,op1000360_20251128_1,home_page,tap,17162,tablet,西安,2025-11-28 16:29:18,杭州,,2025-11-28
271,op1000360,op1000360_20251128_1,profile_page,swipe,9463,desktop,北京,2025-11-28 16:31:30,北京,,2025-11-28
272,op1000360,op1000360_20251128_1,cart_page,swipe,9322,mobile,广州,2025-11-28 16:32:49,南京,,2025-11-28
273,op1000360,op1000360_20251128_1,search_page,swipe,4066,desktop,武汉,2025-11-28 16:35:57,南京,数码,2025-11-28
274,op1000360,op1000360_20251128_1,cart_page,tap,27249,tablet,上海,2025-11-28 16:40:24,深圳,,2025-11-28
275,op1000360,op1000360_20251128_2,home_page,click,15187,desktop,上海,2025-11-28 08:23:11,杭州,,2025-11-28
276,op1000360,op1000360_20251128_2,home_page,tap,4443,mobile,南京,2025-11-28 08:24:40,南京,,2025-11-28
277,op1000360,op1000360_20251128_2,product_page,click,1752,desktop,南京,2025-11-28 08:30:21,北京,90109,2025-11-28
278,op1001389,op1001389_20251128_1,home_page,swipe,6918,desktop,上海,2025-11-28 02:26:38,南京,,2025-11-28
279,op1001389,op1001389_20251128_1,product_page,click,26681,tablet,深圳,2025-11-28 02:28:36,天津,90152,2025-11-28
280,op1001389,op1001389_20251128_1,search_page,input,8024,mobile,重庆,2025-11-28 02:32:23,杭州,服装,2025-11-28
281,op1001389,op1001389_20251128_2,home_page,input,5851,desktop,南京,2025-11-28 13:56:18,武汉,,2025-11-28
282,op1001389,op1001389_20251128_2,product_page,input,26930,tablet,北京,2025-11-28 14:01:01,成都,90152,2025-11-28
283,op1001389,op1001389_20251128_2,cart_page,tap,19658,tablet,上海,2025-11-28 14:05:59,上海,,2025-11-28
284,op1001389,op1001389_20251128_2,search_page,input,13756,mobile,上海,2025-11-28 14:08:27,杭州,数码,2025-11-28
285,op1001389,op1001389_20251128_3,home_page,swipe,23274,tablet,成都,2025-11-28 15:08:20,北京,,2025-11-28
286,op1001389,op1001389_20251128_3,home_page,input,5737,mobile,深圳,2025-11-28 15:11:21,武汉,,2025-11-28
287,op1001389,op1001389_20251128_3,cart_page,click,29293,mobile,南京,2025-11-28 15:16:13,杭州,,2025-11-28
288,op1001389,op1001389_20251128_3,cart_page,scroll,28062,desktop,上海,2025-11-28 15:20:16,成都,,2025-11-28
289,op1000754,op1000754_20251128_1,home_page,click,28870,desktop,成都,2025-11-28 18:21:20,杭州,,2025-11-28
290,op1000754,op1000754_20251128_1,profile_page,click,14634,desktop,杭州,2025-11-28 18:26:28,北京,,2025-11-28
291,op1000754,op1000754_20251128_1,product_page,input,23781,tablet,深圳,2025-11-28 18:31:14,杭州,90025,2025-11-28
292,op1000754,op1000754_20251128_2,home_page,scroll,9637,mobile,杭州,2025-11-28 08:57:12,杭州,,2025-11-28
293,op1000754,op1000754_20251128_2,search_page,swipe,11084,tablet,南京,2025-11-28 08:59:50,武汉,服装,2025-11-28
294,op1000754,op1000754_20251128_3,home_page,swipe,7794,mobile,广州,2025-11-28 02:13:08,天津,,2025-11-28
295,op1000754,op1000754_20251128_3,cart_page,swipe,21303,tablet,重庆,2025-11-28 02:17:28,南京,,2025-11-28
296,op1000373,op1000373_20251128_1,home_page,swipe,13357,tablet,武汉,2025-11-28 13:21:00,深圳,,2025-11-28
297,op1000373,op1000373_20251128_1,product_page,input,24023,desktop,深圳,2025-11-28 13:25:58,天津,90047,2025-11-28
298,op1000373,op1000373_20251128_1,home_page,scroll,6440,tablet,北京,2025-11-28 13:28:05,南京,,2025-11-28
299,op1000373,op1000373_20251128_1,search_page,input,7540,desktop,北京,2025-11-28 13:31:51,杭州,食品,2025-11-28
300,op1000373,op1000373_20251128_2,home_page,click,1534,tablet,重庆,2025-11-28 03:24:37,广州,,2025-11-28
301,op1000373,op1000373_20251128_2,cart_page,click,28415,mobile,广州,2025-11-28 03:29:43,天津,,2025-11-28
302,op1000373,op1000373_20251128_2,cart_page,scroll,14843,tablet,深圳,2025-11-28 03:33:08,天津,,2025-11-28
303,op999927,op999927_20251128_1,home_page,swipe,14524,tablet,成都,2025-11-28 19:47:34,天津,,2025-11-28
304,op999927,op999927_20251128_1,home_page,click,11512,tablet,西安,2025-11-28 19:50:22,杭州,,2025-11-28
305,op999927,op999927_20251128_1,home_page,click,18790,mobile,武汉,2025-11-28 19:53:24,天津,,2025-11-28
306,op999927,op999927_20251128_1,search_page,click,22557,mobile,广州,2025-11-28 19:57:21,广州,服装,2025-11-28
307,op1000848,op1000848_20251128_1,home_page,scroll,24856,mobile,上海,2025-11-28 08:07:29,天津,,2025-11-28
308,op1000848,op1000848_20251128_1,search_page,click,7265,mobile,北京,2025-11-28 08:08:52,广州,食品,2025-11-28
309,op1000848,op1000848_20251128_1,search_page,tap,21126,desktop,广州,2025-11-28 08:14:41,北京,数码,2025-11-28
310,op1000848,op1000848_20251128_1,home_page,tap,23757,tablet,深圳,2025-11-28 08:19:06,广州,,2025-11-28
311,op1000848,op1000848_20251128_1,search_page,scroll,13421,mobile,深圳,2025-11-28 08:24:11,深圳,食品,2025-11-28
312,op1000175,op1000175_20251128_1,home_page,scroll,5952,desktop,广州,2025-11-28 06:11:09,成都,,2025-11-28
313,op1000175,op1000175_20251128_1,profile_page,click,29718,tablet,杭州,2025-11-28 06:16:16,武汉,,2025-11-28
314,op1000175,op1000175_20251128_2,home_page,click,11208,desktop,深圳,2025-11-28 02:42:32,杭州,,2025-11-28
315,op1000175,op1000175_20251128_2,profile_page,tap,17339,mobile,南京,2025-11-28 02:43:39,武汉,,2025-11-28
316,op1000175,op1000175_20251128_2,product_page,swipe,1474,mobile,深圳,2025-11-28 02:46:52,苏州,90075,2025-11-28
317,op1000862,op1000862_20251128_1,home_page,swipe,8328,mobile,成都,2025-11-28 06:24:29,深圳,,2025-11-28
318,op1000862,op1000862_20251128_1,product_page,click,24672,mobile,杭州,2025-11-28 06:26:45,南京,90111,2025-11-28
319,op1000862,op1000862_20251128_2,home_page,scroll,23756,tablet,北京,2025-11-28 04:54:59,成都,,2025-11-28
320,op1000862,op1000862_20251128_2,cart_page,input,29182,tablet,上海,2025-11-28 04:58:59,深圳,,2025-11-28
321,op1000862,op1000862_20251128_2,search_page,swipe,24849,mobile,北京,2025-11-28 05:00:20,苏州,数码,2025-11-28
322,op1000862,op1000862_20251128_2,cart_page,tap,10220,tablet,武汉,2025-11-28 05:03:34,天津,,2025-11-28
323,op1000862,op1000862_20251128_2,product_page,swipe,3020,mobile,武汉,2025-11-28 05:07:07,深圳,90059,2025-11-28
324,op1002570,op1002570_20251128_1,home_page,swipe,21378,tablet,深圳,2025-11-28 11:19:35,深圳,,2025-11-28
325,op1002570,op1002570_20251128_1,cart_page,click,23073,mobile,武汉,2025-11-28 11:22:59,广州,,2025-11-28
326,op1002570,op1002570_20251128_1,cart_page,scroll,12013,tablet,杭州,2025-11-28 11:28:46,成都,,2025-11-28
327,op1002570,op1002570_20251128_2,home_page,click,5616,mobile,广州,2025-11-28 17:53:29,天津,,2025-11-28
328,op1002570,op1002570_20251128_2,home_page,input,1148,tablet,成都,2025-11-28 17:55:13,天津,,2025-11-28
329,op1002570,op1002570_20251128_2,home_page,swipe,29368,mobile,重庆,2025-11-28 17:58:56,苏州,,2025-11-28
330,op1002570,op1002570_20251128_2,search_page,swipe,27052,mobile,南京,2025-11-28 18:03:21,武汉,服装,2025-11-28
331,op1002570,op1002570_20251128_2,home_page,scroll,25785,desktop,南京,2025-11-28 18:06:05,苏州,,2025-11-28
332,op1002570,op1002570_20251128_3,home_page,input,11084,tablet,上海,2025-11-28 07:15:16,深圳,,2025-11-28
333,op1002570,op1002570_20251128_3,product_page,click,10415,mobile,广州,2025-11-28 07:21:08,成都,90179,2025-11-28
334,op1002570,op1002570_20251128_3,product_page,tap,9505,mobile,武汉,2025-11-28 07:23:40,北京,90154,2025-11-28
335,op1002570,op1002570_20251128_3,cart_page,click,26180,tablet,南京,2025-11-28 07:27:27,天津,,2025-11-28
336,op1002570,op1002570_20251128_3,profile_page,click,10629,mobile,北京,2025-11-28 07:33:09,武汉,,2025-11-28
337,op1000604,op1000604_20251128_1,home_page,swipe,10194,desktop,深圳,2025-11-28 14:32:13,广州,,2025-11-28
338,op1000604,op1000604_20251128_1,profile_page,tap,6192,desktop,重庆,2025-11-28 14:34:30,杭州,,2025-11-28
339,op1000604,op1000604_20251128_1,product_page,scroll,11653,mobile,南京,2025-11-28 14:40:03,杭州,90064,2025-11-28
340,op1000604,op1000604_20251128_1,cart_page,scroll,20350,mobile,重庆,2025-11-28 14:44:04,南京,,2025-11-28
341,op1000604,op1000604_20251128_2,home_page,scroll,21322,mobile,重庆,2025-11-28 13:15:11,杭州,,2025-11-28
342,op1000604,op1000604_20251128_2,profile_page,tap,23526,desktop,武汉,2025-11-28 13:18:33,杭州,,2025-11-28
343,op1000604,op1000604_20251128_2,search_page,swipe,24482,desktop,上海,2025-11-28 13:21:15,深圳,食品,2025-11-28
344,op1000484,op1000484_20251128_1,home_page,input,20087,mobile,武汉,2025-11-28 17:03:44,天津,,2025-11-28
345,op1000484,op1000484_20251128_1,search_page,tap,4734,desktop,北京,2025-11-28 17:09:25,南京,数码,2025-11-28
346,op1000484,op1000484_20251128_1,search_page,input,18029,mobile,武汉,2025-11-28 17:13:32,天津,食品,2025-11-28
347,op1000484,op1000484_20251128_1,search_page,tap,3643,desktop,深圳,2025-11-28 17:19:19,天津,数码,2025-11-28
348,op1000484,op1000484_20251128_1,home_page,scroll,14083,tablet,杭州,2025-11-28 17:23:49,北京,,2025-11-28
349,op1000484,op1000484_20251128_2,home_page,input,2421,desktop,深圳,2025-11-28 03:38:00,上海,,2025-11-28
350,op1000484,op1000484_20251128_2,cart_page,scroll,7523,mobile,重庆,2025-11-28 03:42:07,武汉,,2025-11-28
351,op1000484,op1000484_20251128_3,home_page,tap,9468,desktop,杭州,2025-11-28 11:35:22,深圳,,2025-11-28
352,op1000484,op1000484_20251128_3,cart_page,click,9671,tablet,广州,2025-11-28 11:41:21,深圳,,2025-11-28
353,op1000484,op1000484_20251128_3,product_page,tap,29411,desktop,重庆,2025-11-28 11:44:28,北京,90032,2025-11-28
354,op1002509,op1002509_20251128_1,home_page,swipe,13262,tablet,成都,2025-11-28 09:53:19,深圳,,2025-11-28
355,op1002509,op1002509_20251128_1,cart_page,scroll,26675,tablet,上海,2025-11-28 09:56:48,上海,,2025-11-28
356,op1002509,op1002509_20251128_1,product_page,scroll,29291,tablet,深圳,2025-11-28 09:59:11,上海,90110,2025-11-28
357,op1002509,op1002509_20251128_1,cart_page,scroll,4636,desktop,北京,2025-11-28 10:01:10,成都,,2025-11-28
358,op1002509,op1002509_20251128_1,search_page,tap,4926,mobile,重庆,2025-11-28 10:05:49,广州,服装,2025-11-28
359,op1002509,op1002509_20251128_2,home_page,input,5909,tablet,上海,2025-11-28 20:15:07,苏州,,2025-11-28
360,op1002509,op1002509_20251128_2,cart_page,swipe,6693,mobile,广州,2025-11-28 20:20:11,天津,,2025-11-28
361,op1002509,op1002509_20251128_2,cart_page,tap,27319,desktop,广州,2025-11-28 20:23:21,北京,,2025-11-28
362,op1002509,op1002509_20251128_2,cart_page,scroll,21034,tablet,武汉,2025-11-28 20:24:32,广州,,2025-11-28
363,op1002509,op1002509_20251128_2,cart_page,tap,10288,tablet,西安,2025-11-28 20:28:30,广州,,2025-11-28
364,op1002509,op1002509_20251128_3,home_page,input,10647,desktop,西安,2025-11-28 04:15:52,北京,,2025-11-28
365,op1002509,op1002509_20251128_3,cart_page,click,7088,desktop,西安,2025-11-28 04:21:17,武汉,,2025-11-28
366,op1002509,op1002509_20251128_3,product_page,scroll,22363,tablet,成都,2025-11-28 04:25:18,南京,90064,2025-11-28
367,op1002509,op1002509_20251128_3,product_page,scroll,2676,mobile,深圳,2025-11-28 04:29:23,天津,90104,2025-11-28
368,op1002676,op1002676_20251128_1,home_page,click,13877,tablet,北京,2025-11-28 13:14:04,广州,,2025-11-28
369,op1002676,op1002676_20251128_1,profile_page,swipe,9845,desktop,南京,2025-11-28 13:16:35,杭州,,2025-11-28
370,op1002676,op1002676_20251128_1,profile_page,click,8758,desktop,上海,2025-11-28 13:19:01,南京,,2025-11-28
371,op1002676,op1002676_20251128_1,product_page,tap,15007,desktop,上海,2025-11-28 13:21:25,苏州,90133,2025-11-28
372,op1002676,op1002676_20251128_1,home_page,swipe,11930,desktop,杭州,2025-11-28 13:22:46,成都,,2025-11-28
373,op1002676,op1002676_20251128_2,home_page,input,18897,tablet,北京,2025-11-28 17:43:07,苏州,,2025-11-28
374,op1002676,op1002676_20251128_2,profile_page,swipe,25045,mobile,武汉,2025-11-28 17:45:36,杭州,,2025-11-28
375,op1001532,op1001532_20251128_1,home_page,click,1001,tablet,西安,2025-11-28 00:21:07,苏州,,2025-11-28
376,op1001532,op1001532_20251128_1,profile_page,click,28538,mobile,广州,2025-11-28 00:22:37,深圳,,2025-11-28
377,op1001532,op1001532_20251128_2,home_page,input,12098,mobile,上海,2025-11-28 21:53:14,上海,,2025-11-28
378,op1001532,op1001532_20251128_2,profile_page,input,22659,tablet,上海,2025-11-28 21:57:56,深圳,,2025-11-28
379,op1001532,op1001532_20251128_2,product_page,input,8495,tablet,南京,2025-11-28 21:59:02,广州,90097,2025-11-28
380,op1001532,op1001532_20251128_2,search_page,scroll,28344,tablet,上海,2025-11-28 22:01:30,苏州,食品,2025-11-28
381,op1002645,op1002645_20251128_1,home_page,click,8507,mobile,西安,2025-11-28 01:10:01,广州,,2025-11-28
382,op1002645,op1002645_20251128_1,product_page,click,3443,tablet,重庆,2025-11-28 01:13:41,深圳,90104,2025-11-28
383,op1002645,op1002645_20251128_1,product_page,scroll,29998,mobile,杭州,2025-11-28 01:17:31,上海,90158,2025-11-28
384,op1002645,op1002645_20251128_2,home_page,click,25305,mobile,武汉,2025-11-28 00:48:15,武汉,,2025-11-28
385,op1002645,op1002645_20251128_2,home_page,tap,29675,mobile,南京,2025-11-28 00:49:42,上海,,2025-11-28
386,op1002645,op1002645_20251128_2,search_page,click,24315,tablet,杭州,2025-11-28 00:51:04,深圳,服装,2025-11-28
387,op1002645,op1002645_20251128_2,cart_page,scroll,6832,desktop,杭州,2025-11-28 00:52:56,深圳,,2025-11-28
388,op1002645,op1002645_20251128_2,search_page,input,2333,tablet,重庆,2025-11-28 00:54:13,成都,食品,2025-11-28
389,op1002645,op1002645_20251128_3,home_page,scroll,25204,mobile,杭州,2025-11-28 10:18:12,广州,,2025-11-28
390,op1002645,op1002645_20251128_3,search_page,scroll,6081,tablet,深圳,2025-11-28 10:19:27,杭州,服装,2025-11-28
391,op1002645,op1002645_20251128_3,search_page,tap,27989,mobile,北京,2025-11-28 10:24:13,苏州,食品,2025-11-28
392,op1002477,op1002477_20251128_1,home_page,input,21841,mobile,武汉,2025-11-28 11:37:18,成都,,2025-11-28
393,op1002477,op1002477_20251128_1,cart_page,swipe,26816,desktop,西安,2025-11-28 11:40:44,上海,,2025-11-28
394,op1002477,op1002477_20251128_1,profile_page,tap,9794,tablet,南京,2025-11-28 11:46:24,杭州,,2025-11-28
395,op1002477,op1002477_20251128_1,profile_page,click,20893,mobile,深圳,2025-11-28 11:51:47,武汉,,2025-11-28
396,op1002477,op1002477_20251128_1,cart_page,tap,15055,tablet,重庆,2025-11-28 11:52:58,成都,,2025-11-28
397,op1002332,op1002332_20251128_1,home_page,tap,8132,mobile,武汉,2025-11-28 08:58:10,广州,,2025-11-28
398,op1002332,op1002332_20251128_1,profile_page,tap,9592,tablet,重庆,2025-11-28 08:59:57,北京,,2025-11-28
399,op1002332,op1002332_20251128_1,product_page,click,16738,tablet,深圳,2025-11-28 09:03:38,南京,90097,2025-11-28
400,op1002332,op1002332_20251128_1,home_page,scroll,19224,tablet,上海,2025-11-28 09:04:42,苏州,,2025-11-28
401,op1002332,op1002332_20251128_2,home_page,click,17734,mobile,西安,2025-11-28 14:32:27,深圳,,2025-11-28
402,op1002332,op1002332_20251128_2,product_page,swipe,18302,mobile,深圳,2025-11-28 14:33:29,杭州,90134,2025-11-28
403,op1002332,op1002332_20251128_2,home_page,tap,22451,desktop,杭州,2025-11-28 14:37:13,杭州,,2025-11-28
404,op1002332,op1002332_20251128_3,home_page,scroll,12439,tablet,武汉,2025-11-28 10:57:01,深圳,,2025-11-28
405,op1002332,op1002332_20251128_3,cart_page,input,3485,mobile,上海,2025-11-28 11:02:18,广州,,2025-11-28
406,op1002332,op1002332_20251128_3,product_page,swipe,12586,desktop,北京,2025-11-28 11:03:44,广州,90105,2025-11-28
407,op1002332,op1002332_20251128_3,home_page,input,27395,tablet,北京,2025-11-28 11:05:38,上海,,2025-11-28
408,op1001098,op1001098_20251128_1,home_page,input,8863,tablet,武汉,2025-11-28 20:28:29,北京,,2025-11-28
409,op1001098,op1001098_20251128_1,cart_page,input,11680,tablet,重庆,2025-11-28 20:30:34,杭州,,2025-11-28
410,op1001098,op1001098_20251128_1,cart_page,scroll,12633,tablet,西安,2025-11-28 20:35:38,上海,,2025-11-28
411,op1001098,op1001098_20251128_1,profile_page,scroll,5689,tablet,南京,2025-11-28 20:37:15,天津,,2025-11-28
412,op1001098,op1001098_20251128_1,home_page,scroll,15665,tablet,武汉,2025-11-28 20:39:20,深圳,,2025-11-28
413,op1002437,op1002437_20251128_1,home_page,swipe,22604,tablet,重庆,2025-11-28 10:47:04,广州,,2025-11-28
414,op1002437,op1002437_20251128_1,cart_page,input,4745,desktop,广州,2025-11-28 10:48:44,杭州,,2025-11-28
415,op1002437,op1002437_20251128_1,cart_page,input,2288,desktop,上海,2025-11-28 10:53:00,南京,,2025-11-28
416,op1001050,op1001050_20251128_1,home_page,click,18196,desktop,北京,2025-11-28 07:39:17,上海,,2025-11-28
417,op1001050,op1001050_20251128_1,profile_page,swipe,29025,desktop,上海,2025-11-28 07:42:59,天津,,2025-11-28
418,op1001050,op1001050_20251128_1,search_page,input,18543,desktop,武汉,2025-11-28 07:44:15,北京,数码,2025-11-28
419,op1001050,op1001050_20251128_2,home_page,swipe,20438,desktop,南京,2025-11-28 22:33:43,成都,,2025-11-28
420,op1001050,op1001050_20251128_2,product_page,input,9887,desktop,南京,2025-11-28 22:37:44,武汉,90002,2025-11-28
421,op1001050,op1001050_20251128_2,product_page,tap,21782,tablet,成都,2025-11-28 22:42:37,北京,90061,2025-11-28
422,op1000310,op1000310_20251128_1,home_page,click,14207,desktop,南京,2025-11-28 11:31:45,南京,,2025-11-28
423,op1000310,op1000310_20251128_1,profile_page,tap,21664,desktop,北京,2025-11-28 11:35:59,杭州,,2025-11-28
424,op1000310,op1000310_20251128_2,home_page,input,6574,tablet,西安,2025-11-28 16:40:42,杭州,,2025-11-28
425,op1000310,op1000310_20251128_2,search_page,swipe,27997,mobile,南京,2025-11-28 16:46:15,天津,数码,2025-11-28
426,op1000310,op1000310_20251128_2,cart_page,tap,20937,mobile,北京,2025-11-28 16:47:54,深圳,,2025-11-28
427,op1000310,op1000310_20251128_3,home_page,input,5144,mobile,武汉,2025-11-28 06:51:22,成都,,2025-11-28
428,op1000310,op1000310_20251128_3,search_page,tap,26524,tablet,南京,2025-11-28 06:55:17,广州,食品,2025-11-28
429,op1000310,op1000310_20251128_3,home_page,input,11229,tablet,北京,2025-11-28 06:58:18,杭州,,2025-11-28
430,op999834,op999834_20251128_1,home_page,click,14919,desktop,南京,2025-11-28 03:29:52,深圳,,2025-11-28
431,op999834,op999834_20251128_1,profile_page,click,2741,mobile,成都,2025-11-28 03:32:20,天津,,2025-11-28
432,op999834,op999834_20251128_1,home_page,input,28397,tablet,杭州,2025-11-28 03:34:27,北京,,2025-11-28
433,op999834,op999834_20251128_1,home_page,swipe,27331,desktop,南京,2025-11-28 03:35:50,苏州,,2025-11-28
434,op999834,op999834_20251128_2,home_page,swipe,20447,mobile,北京,2025-11-28 22:59:16,天津,,2025-11-28
435,op999834,op999834_20251128_2,home_page,swipe,2708,desktop,西安,2025-11-28 23:04:16,武汉,,2025-11-28
436,op999834,op999834_20251128_3,home_page,input,8699,mobile,西安,2025-11-28 08:13:58,武汉,,2025-11-28
437,op999834,op999834_20251128_3,product_page,scroll,13426,desktop,南京,2025-11-28 08:18:57,武汉,90066,2025-11-28
438,op999834,op999834_20251128_3,search_page,tap,11325,desktop,南京,2025-11-28 08:20:02,广州,食品,2025-11-28
439,op1000895,op1000895_20251128_1,home_page,input,19852,mobile,杭州,2025-11-28 16:28:12,深圳,,2025-11-28
440,op1000895,op1000895_20251128_1,profile_page,swipe,26811,desktop,北京,2025-11-28 16:29:21,武汉,,2025-11-28
441,op1000352,op1000352_20251128_1,home_page,click,17817,tablet,武汉,2025-11-28 04:26:47,天津,,2025-11-28
442,op1000352,op1000352_20251128_1,profile_page,tap,8874,desktop,武汉,2025-11-28 04:29:43,上海,,2025-11-28
443,op1000352,op1000352_20251128_1,home_page,swipe,9364,desktop,广州,2025-11-28 04:33:12,深圳,,2025-11-28
444,op1000352,op1000352_20251128_1,product_page,scroll,5393,desktop,广州,2025-11-28 04:38:17,天津,90119,2025-11-28
445,op1000651,op1000651_20251128_1,home_page,click,28626,mobile,杭州,2025-11-28 17:59:01,南京,,2025-11-28
446,op1000651,op1000651_20251128_1,product_page,input,22032,tablet,重庆,2025-11-28 18:00:43,广州,90071,2025-11-28
447,op1000651,op1000651_20251128_1,cart_page,scroll,1250,tablet,西安,2025-11-28 18:02:42,苏州,,2025-11-28
448,op1000651,op1000651_20251128_1,profile_page,swipe,6416,tablet,上海,2025-11-28 18:06:41,南京,,2025-11-28
449,op1000385,op1000385_20251128_1,home_page,swipe,23492,desktop,深圳,2025-11-28 00:58:26,苏州,,2025-11-28
450,op1000385,op1000385_20251128_1,home_page,swipe,4000,desktop,重庆,2025-11-28 01:01:11,北京,,2025-11-28
451,op1000385,op1000385_20251128_2,home_page,click,10795,tablet,上海,2025-11-28 10:14:02,深圳,,2025-11-28
452,op1000385,op1000385_20251128_2,cart_page,swipe,19320,tablet,上海,2025-11-28 10:16:54,武汉,,2025-11-28
453,op1000385,op1000385_20251128_2,search_page,scroll,13608,desktop,深圳,2025-11-28 10:19:15,深圳,数码,2025-11-28
454,op1000385,op1000385_20251128_2,product_page,swipe,29672,mobile,西安,2025-11-28 10:24:58,深圳,90038,2025-11-28
455,op1000385,op1000385_20251128_2,search_page,click,11743,desktop,北京,2025-11-28 10:26:07,深圳,食品,2025-11-28
456,op999859,op999859_20251128_1,home_page,click,2478,desktop,南京,2025-11-28 06:36:19,成都,,2025-11-28
457,op999859,op999859_20251128_1,product_page,tap,20312,tablet,重庆,2025-11-28 06:39:48,成都,90136,2025-11-28
458,op999859,op999859_20251128_1,profile_page,input,15275,desktop,杭州,2025-11-28 06:40:49,苏州,,2025-11-28
459,op999859,op999859_20251128_2,home_page,scroll,26316,tablet,重庆,2025-11-28 11:11:49,上海,,2025-11-28
460,op999859,op999859_20251128_2,product_page,swipe,13624,tablet,重庆,2025-11-28 11:15:33,深圳,90057,2025-11-28
461,op999859,op999859_20251128_2,product_page,click,20438,desktop,杭州,2025-11-28 11:18:56,北京,90039,2025-11-28
462,op999859,op999859_20251128_2,search_page,input,10514,desktop,杭州,2025-11-28 11:21:06,苏州,数码,2025-11-28
463,op999859,op999859_20251128_3,home_page,swipe,25130,mobile,北京,2025-11-28 08:09:53,广州,,2025-11-28
464,op999859,op999859_20251128_3,cart_page,swipe,29074,mobile,成都,2025-11-28 08:12:40,成都,,2025-11-28
465,op999939,op999939_20251128_1,home_page,scroll,4535,mobile,深圳,2025-11-28 00:24:58,北京,,2025-11-28
466,op999939,op999939_20251128_1,product_page,swipe,16380,desktop,重庆,2025-11-28 00:26:30,北京,90036,2025-11-28
467,op999939,op999939_20251128_1,product_page,input,24792,desktop,北京,2025-11-28 00:28:34,深圳,90021,2025-11-28
468,op999939,op999939_20251128_2,home_page,click,17625,tablet,重庆,2025-11-28 16:42:14,成都,,2025-11-28
469,op999939,op999939_20251128_2,product_page,click,20696,desktop,深圳,2025-11-28 16:44:47,天津,90023,2025-11-28
